[2026-06-25T04:11:37.708Z] GET http://127.0.0.1:52963/welcome → 200 (175ms, 9188B)
[2026-06-25T04:11:37.901Z] GET https://fonts.googleapis.com/css2?family=DM+Sans:wght@400;500;600&family=JetBrains+Mono:wght@400;500&display=swap → pending (?ms, ?B)
[2026-06-25T04:11:37.901Z] GET https://api.fontshare.com/v2/css?f[]=satoshi@700,900&display=swap → pending (?ms, ?B)
[2026-06-25T04:11:38.855Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Yp2ywxg089UriI5-g4vlH9VoD8Cmcqbu0-K6z9mXg.woff2 → pending (?ms, ?B)
[2026-06-25T04:11:38.856Z] GET https://cdn.fontshare.com/wf/NHPGVFYUXYXE33DZ75OIT4JFGHITX5PE/PSUTMASCDJTVPERDYJZPN23BVUFUCQIF/J64QX5IPOHK56I2KYUNBQ5M2XWZEYKYX.woff2 → pending (?ms, ?B)
[2026-06-25T04:11:38.856Z] GET https://cdn.fontshare.com/wf/LAFFD4SDUCDVQEXFPDC7C53EQ4ZELWQI/PXCT3G6LO6ICM5I3NTYENYPWJAECAWDD/GHM6WVH6MILNYOOCXHXB5GTSGNTMGXZR.woff2 → pending (?ms, ?B)
[2026-06-25T04:11:38.856Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → pending (?ms, ?B)
[2026-06-25T04:12:08.144Z] GET https://www.trustpilot.com/review/javavolcano-touroperator.com → 403 (366ms, 991B)
[2026-06-25T04:12:08.532Z] GET https://www.trustpilot.com/interstitial/interstitial.css → pending (?ms, ?B)
[2026-06-25T04:12:08.532Z] GET https://a7d575be72e8.edge.sdk.awswaf.com/a7d575be72e8/b5180ee838be/challenge.js → 200 (274ms, 1406755B)
[2026-06-25T04:12:08.532Z] GET https://www.trustpilot.com/interstitial/interstitial.js → pending (?ms, ?B)
[2026-06-25T04:12:09.518Z] POST https://a7d575be72e8.edge.sdk.awswaf.com/a7d575be72e8/b5180ee838be/mp_verify → 200 (80ms, 280B)
[2026-06-25T04:12:09.618Z] GET https://www.trustpilot.com/ → 200 (26ms, 304987B)
[2026-06-25T04:12:09.826Z] POST https://a7d575be72e8.edge.sdk.awswaf.com/a7d575be72e8/b5180ee838be/telemetry → 200 (28ms, 848B)
[2026-06-25T04:12:10.157Z] GET https://www.trustpilot.com/review/javavolcano-touroperator.com → 200 (26ms, 755999B)
[2026-06-25T04:12:10.196Z] GET https://cdn.cookielaw.org/scripttemplates/otSDKStub.js → 200 (116ms, 26578B)
[2026-06-25T04:12:10.201Z] GET https://cdn.segment.com/analytics.js/v1/8tb69qtawc/analytics.min.js → 200 (166ms, ?B)
[2026-06-25T04:12:10.201Z] GET https://static.hotjar.com/c/hotjar-391767.js?sv=6 → 200 (445ms, ?B)
[2026-06-25T04:12:10.201Z] GET https://businessunitprofile-cdn.trustpilot.net/businessunitprofile-consumersite/_next/static/css/da84aefec2cc9138.css → pending (?ms, ?B)
